tt0120815;Saving Private Ryan;Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.;85;1998;[drama,war];saving_private_ryan.jpg
tt0021749;City Lights;With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.;85;1931;[drama,romance,comedy];city_lights.jpg
tt0110413;Léon: The Professional;Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.;85;1994;[crime,drama,thriller];léon_the_professional.jpg
tt0064116;Once Upon a Time in the West;A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.;85;1968;[western];once_upon_a_time_in_the_west.jpg
tt0054215;Psycho;A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.;85;1960;[mystery,thriller,horror];psycho.jpg
tt0120586;American History X;A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.;85;1998;[crime,drama];american_history_x.jpg
tt1675434;The Intouchables;After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.;85;2011;[drama,biography,comedy];the_intouchables.jpg
tt0027977;Modern Times;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;85;1936;[drama,family,comedy];modern_times.jpg
tt0034583;Casablanca;A cynical nightclub owner protects an old flame and her husband from Nazis in Morocco.;85;1942;[drama,romance,war];casablanca.jpg
tt0253474;The Pianist;A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.;85;2002;[drama,biography,music];the_pianist.jpg
tt0088763;Back to the Future;Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.;85;1985;[adventure,sci-fi,comedy];back_to_the_future.jpg
tt0407887;The Departed;An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.;85;2006;[crime,drama,thriller];the_departed.jpg
tt0047396;Rear Window;A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.;85;1954;[mystery,thriller];rear_window.jpg
tt0103064;Terminator 2: Judgment Day;A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.;85;1991;[action,sci-fi];terminator_2_judgment_day.jpg
tt0082971;Raiders of the Lost Ark;In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.;85;1981;[action,adventure];raiders_of_the_lost_ark.jpg
tt0209144;Memento;A man with short-term memory loss attempts to track down his wife's murderer.;84;2000;[mystery,thriller];memento.jpg
tt0816692;Interstellar;A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.;85;2014;[drama,adventure,sci-fi];interstellar.jpg
tt2582802;Whiplash;A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.;85;2014;[drama,music];whiplash.jpg
tt0032553;The Great Dictator;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.;84;1940;[drama,comedy,war];the_great_dictator.jpg
tt0078748;Alien;After a space merchant vessel perceives an unknown transmission as a distress call, its landing on the source moon finds one of the crew attacked by a mysterious lifeform, and they soon realize that its life cycle has merely begun.;84;1979;[sci-fi,horror];alien.jpg
tt0482571;The Prestige;After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.;85;2006;[drama,sci-fi,mystery];the_prestige.jpg
tt0110357;The Lion King;A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.;85;1994;[drama,adventure,animation];the_lion_king.jpg
tt0172495;Gladiator;A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.;85;2000;[drama,action,adventure];gladiator.jpg
tt0095765;Cinema Paradiso;A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.;84;1988;[drama];cinema_paradiso.jpg
tt0078788;Apocalypse Now;During the Vietnam War, Captain Willard is sent on a dangerous mission into Cambodia to assassinate a renegade Colonel who has set himself up as a god among a local tribe.;84;1979;[drama,war];apocalypse_now.jpg
tt0405094;The Lives of Others;In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.;84;2006;[drama,thriller];the_lives_of_others.jpg
tt0095327;Grave of the Fireflies;A young boy and his little sister struggle to survive in Japan during World War II.;84;1988;[drama,animation,war];grave_of_the_fireflies.jpg
tt0043014;Sunset Boulevard;A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship.;84;1950;[drama,film-noir];sunset_boulevard.jpg
tt0057012;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.;84;1964;[comedy];dr._strangelove_or_how_i_learned_to_stop_worrying_and_love_the_bomb.jpg
tt0050825;Paths of Glory;After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.;84;1957;[drama,war];paths_of_glory.jpg
tt0910970;WALL·E;In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.;84;2008;[adventure,family,animation];wall·e.jpg
tt0081505;The Shining;A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.;84;1980;[drama,horror];the_shining.jpg
