tt4508902;One Punch Man: Wanpanman;The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.;89;2015;[action,comedy,animation];one_punch_man_wanpanman.jpg;[12,12]
tt2085059;Black Mirror;An anthology series exploring a twisted, high-tech world where humanity's greatest innovations and darkest instincts collide.;89;2011;[drama,sci-fi,thriller];black_mirror.jpg;[3,4,6,6,4]
tt3530232;Last Week Tonight with John Oliver;Former Daily Show host and correspondent John Oliver brings his persona to this new weekly news satire program.;89;2014;[comedy,news,talk-show];last_week_tonight_with_john_oliver.jpg;[24,35,30,30,30,1]
tt0103359;Batman: The Animated Series;The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.;89;1992;[action,adventure,animation];batman_the_animated_series.jpg;[60,10,10,5]
tt1508238;Apocalypse: The Second World War;Apocalypse: The Second World War(2009) is a six-part French documentary about the Second World War. The documentary is composed exclusively of actual footage of the war as filmed by war correspondents, soldiers, resistance fighters and private citizens. The series is shown in color, with the black and white footage being fully colorized, save for some original color footage. The only exception to the treatment are most Holocaust scenes, which are presented in the original black and white.;88;2009;[history,war,documentary];apocalypse_the_second_world_war.jpg;[6]
tt0063929;Monty Python's Flying Circus;The original surreal sketch comedy showcase for the Monty Python troupe.;89;1969;[comedy];monty_pythons_flying_circus.jpg;[13,13,13,6,6]
tt3718778;Over the Garden Wall;Two brothers find themselves lost in a mysterious land and try to find their way home.;88;2014;[drama,adventure,animation];over_the_garden_wall.jpg;[10]
tt0098936;Twin Peaks;An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.;88;1990;[crime,drama,mystery];twin_peaks1990.jpg;[8,22]
tt0052520;The Twilight Zone;Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.;90;1959;[fantasy,mystery,horror];the_twilight_zone.jpg;[36,29,37,18,36]
tt0074006;I, Claudius;The history of the Roman Empire as experienced by one of its rulers.;88;1976;[drama,biography,history];i_claudius.jpg;[13]
tt0193676;Freaks and Geeks;A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.;88;1999;[drama,comedy];freaks_and_geeks.jpg;[18]
tt1865718;Gravity Falls;Twin siblings Dipper and Mabel Pines spend the summer at their uncle's tourist trap in the enigmatic town of Gravity Falls.;88;2012;[adventure,comedy,animation];gravity_falls.jpg;[20,20,20]
